"school_id","school_name","school_city_n","school_state_n","school_district_n","nominator_reason_n"
"1625","Phillips Middle School","Tarboro","North Carolina","Edgecombe County Public Schools","The North Phillips School of Innovation (NPSI) draws students and staff from Phillips Middle School and North Edgecombe High School. At NPSI, the work of learning and innovating is rich and busy. Students use the use the design process to study math, English, and science, all while working to understand themselves and their community. The learning is a highly structured experience, but one full of choices."
"1626","Kujawa Elementary","Houston","Texas","Aldine ISD","Kujawa implements an innovative model, the Whole Child Model, which integrates multiple tiers of support throughout the school day to build a safe and supportive school climate as well as the intrapersonal and interpersonal skills young children need to regulate their emotions, manage stress, and handle conflicts productively."
"1627","Forte Preparatory Academy Middle School","Elmhurst","New York","N/A, but the comparable district is Queens CSD 24","Forte Preparatory Academy opened in fall 2017 in response to a critical need: at the time, 77% of local students in East Elmhurst and Corona were not prepared for college. Initially authorized for grades 5-8, Forte expanded in 2023 to include a high school program and is now chartered to serve grades 5-12.

The school’s mission is to prepare all students to excel academically and to use their leadership and voice to positively impact the world, and they are demonstrating strong results in this mission. Forte’s college preparatory curriculum is designed to close achievement gaps, especially for low-income and English Language Learner students. Students benefit from an environment that emphasizes character development through core values: service, teamwork, resilience, integrity, voice, and excellence.
Beyond academics, students have opportunities to participate in music and the arts at every grade level, fostering creativity and cultural pride. The high school program builds on these foundations by deepening community identity, developing leadership, accelerating college credit accumulation, and career exploration.
Forte’s commitment to high-quality instruction is evident through a strong focus on curriculum development, carefully crafted lesson plans, and ongoing professional development for teachers. The school also places a strong emphasis on partnerships with families and local organizations, ensuring that the entire community is engaged in student success.
Today, Forte Preparatory stands as a vibrant school community where students are empowered to strive for excellence and lead with integrity. Through a rigorous academic program, a robust arts curriculum, and a focus on character, students graduate prepared not only for college but for lives of purpose and leadership."
"1627","Forte Preparatory Academy Middle School","Elmhurst","New York","Forte Preparatory Academy","Forte Prep Academy's High School (FPHS) builds on the strong academic, social, and emotional foundation established in its existing middle school program. There are six key design elements including: a strong academic core, enrichment in arts and language, building student voice through service, social and emotional learning via advisory, accelerated college credit acquisition, and smart use of time and space. Using a city-centered learning approach, students learn about their local community and develop a deep understanding of the immigrant stories that make their neighborhood unique."
"1628","Legacy College Prep","Bronx","New York","N/A, but the school's comparable district is Bronx CSD 7","Legacy College Preparatory opened in 2017 with a commitment to providing rigorous instruction to prepare students to attend and complete college along with values-based character development, and supporting students to set ambitious goals to drive their preparedness for college and their pursuit of post-secondary aspirations. The school's educational model is rooted in their PRIDE values (Professionalism, Respect, Integrity, Determination, and Engagement) and their emphasis on leveraging highly-effective, mission-driven teachers who conduct frequent and purposeful data analyses to inform classroom instruction. Legacy nurtures important partnerships with families through consistent communication and by offering parent seminars on a variety of topics to empower families with the tools, knowledge, and confidence to support their children's growth and success. Through advisories, a broad variety of enrichment activities, field trips, and community service, students develop as well-rounded, community-minded leaders, in addition to building critical academic skills. "
"1629","Greater Dayton School","Dayton","Ohio",NA,"Instead of defining success by test scores, the school starts with a destination: what kind of adults its students will be at age 27 (healthy, financially independent, living with character, and successful by their own definition). The curriculum and supports are reverse-engineered from those goals. It’s Ohio’s first private non-religious school solely dedicated to students from low-income backgrounds, with admissions guided by income criteria and neighborhood school performance. Core values include putting kids’ needs and success ahead of adults’ convenience, dreaming big, shared ownership of outcomes, and doing the right thing. Students benefit from low student-teacher ratios, individualized plans, extended days, and extra help as needed. The 11-acre campus was designed with flexible learning spaces, wellness facilities, playgrounds, and community areas to make school inviting and nurturing."
"1631","Math Engineering and Science Academy Charter School (MESA Bushwick)","Brooklyn","New York",NA,"Among the strongest academic results in NYS, great partnerships with employers across the city and alumni support to ensure success in college AND career. Launched 2nd school already."
"1631","Math Engineering and Science Academy Charter School (MESA Bushwick)","New York City","New York","NYC Public Schools","MESA is rethinking and innovating on what the high school student experience can look like, with a strong focus on experiential learning, and career connected learning where students are connected with internships, workplace tours, and residential college programs to support their understanding of viable career paths. MESA is also building innovative programming to support their alumni in college and career pathways after graduation."
"1632","ABQ Charter Academy","Albuquerque","New Mexico",NA,"The school is excited to serve all students between the ages of 16 and 21 who have been disenfranchised from educational opportunity, including refugee students, single parents, students with disabilities, gifted learners, English language learners, or anyone looking for a customized approach to learning. This includes crafting flexible schedules for those students who cannot attend school regularly due to child care or employment, and partnering with UNM and CNM to offer college and career training which is integrated into students’ high school curriculum. They developed partnerships with the following agencies to offer paid internships to our scholars that lead directly to professional careers after school with NM Workforce Solutions, Albuquerque Public Schools Internship Program, Big Brothers, Big Sisters of New Mexico, and the Career Enrichment Center."
"1633","Bingham Academy","Blackfoot","Idaho",NA,"Bingham Academy is the first Science, Technology, Engineering, and Mathematics (STEM) certified in Idaho; offers its students in person college courses on its campus in Blackfoot; offers two Career Technical Education (CTE) pathways: pre-engineering and Certified Medical Assisting; offers one CTE cluster in computer science and programming."
"1634","Meridian Medical Arts Charter High School","Meridian","Idaho",NA,"Meridian Medical Arts Charter High School is a free, four-year public high school with an emphasis on the health sciences that was recently rated as the #1 Charter School in the State of Idaho. Students can expect site-based learning opportunities, real world experience, and college level academic courses. MMACHS is also one of only a handful of Career Technical Centers in Idaho. "
"1635","Academy Of Collaborative Education","Monroe","Louisiana",NA,"Integrated academic and therapeutic programming for students with autism spectrum disorders."
"1636","CAST Med High School","San Antonio","Texas","CAST Schools","CAST Med High School is a dual-language, medically focused public school that prepares 9th–12th graders for careers in healthcare and biomedical sciences through hands-on learning, industry-recognized certifications, and early college credit opportunities. Students gain real-world experience through mentorships, job shadowing, internships, and a wide range of extracurricular and community-based learning opportunities within a supportive, future-focused community."
"1637","IYC Iovine And Young Center","Los Angeles","California","Los Angeles Unified School District","The Iovine & Young Center reshapes high-school by integrating design, technology, entrepreneurship and core academics into one interdisciplinary program. Students engage in real-world, project-based learning — collaborating with industry experts, using state-of-the-art tools and working across disciplines rather than in isolated subject silos. The structure emphasizes the next generation of thinkers: students develop strong foundations in creative problem-solving, teamwork, critical thinking and innovation, preparing them for competitive colleges and careers in a changing world."
"1638","Collins Middle School","Salem","Massachusetts","Salem Public Schools","Collins Middle School reimagined school to make students feel empowered, connected, and unbounded by their learning, by designing personalized, community-based, and hands-on learning. Personalization is most prevalent in math and English language arts as a method to allow students
to progress at their own pace, through the use of data-driven learning platforms. Personalization also included students setting goals, reflecting on their progress through peer and teacher check-ins, and leading conferences with their families to update them on their development. Community-based learning provides students with the opportunity to venture into the community to explore rich community assets and to understand the complex challenges facing Salem, giving stuedents chance to connect the learning they do in the classroom with aspects of the outside world. Hands-on learning occurs thorugh expereinces like Design Studio, a highly collaborative workspace for students that uses inquiry-based learning and takes learners through the design thinking process from sketching ideas, developing prototypes, iterating, refining, and finally presenting."
"1639","Cottonwood Elementary School","Carlsbad","New Mexico","Carlsbad Municipal Schools","Cottonwood Elementary and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students; it posted the 10th-highest growth in the state in the math proficiency rate among medium-size schools, and the 18th-highest growth in the literacy rate. It received Certified Opportunity Culture® School status, Level 1, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching."
"1640","Hawaii Technology Academy ‘Ewa Beach","‘Ewa Beach","Hawaii","Hawaii Technology Academy","This charter school offers two programs - place-based and blended learning. Students learn their foundational skills in their on-campus and Zoom classes; then they put that into practical application as they work with our community partners. This academic approach allows for a flexible schedule that enables students to learn in an environment that best serves their individual needs. Learning Coaches build strong relationships with students and families,  with a strong commitment to fostering each child’s intellectual, emotional, social, cognitive, creative, and cultural growth within a rich and stimulating environment. Students have opportunities to exhibit their learning through a variety of ways and to a variety of audiences."
"1641","Hawaii Technology Academy Kona","Kona","Hawaii","Hawaii Technology Academy","HTA Kona takes a holistic approach to learning, balancing both indigenous cultural practices and ‘ike (knowledge) with the 21st century skills surrounding us every day. Students still learn the content and skills necessary to thrive at college or in the workforce by integrating culture and island ways of connecting. Students interact with the wahi pana, or sacred places, and the school creates sustainable, reciprocal partnerships in the private and public sectors. Cultural practitioners share their ‘ike with students and engage them in hands-on practice, problem-solving, and solution-oriented outcomes to increase the wellbeing of the whole kaiāulu (community). Their new campus has been specially designed and built for doing school differently, with everything from a fully equipped science lab to a Makerspace with 3D printing."
"1642","Hawaii Technology Academy Waipahu","Waipahu","Hawaii","Hawaii Technology Academy","Students at this charter middle and high school design, build, test, and explore. A fully equipped maker space and field studies program structure learning around hands-on activity, built in to a blended learning schedule. Waipahu is committed to helping students develop programs of study that meet their academic and college goals, that lead to healthy lifestyles, and afford ample opportunity to participate in meaningful activities. Every student has an annual course-planning meeting with an HTA counselor to help them chose the courses that will guide them on their path to success. They have access to more than 90 college preparatory, support, and college-level courses and  a wide range of community partners allows students to dive into internships, experiential programs, jobs, or independent projects. "
"1643","Hawaii Technology Academy Kīhei","Kīhei","Hawaii","Hawaii Technology Academy","This school offers project-based and career-based learning from elementary through high school. The flexible delivery offers three different learning programs. The blended learning program consists of three components: face-to-face classes, virtual instruction, and experiential learning. The place-based program is also a blended schedule, but puts more emphasis on field-based studies. The Distance Learning program is fully virtual as students meet with their teachers and peers for online classes, quarterly community events, as well as independent learning."
"1644","Hawaii Technology Academy Lāhainā","Lāhainā","Hawaii","Hawaii Technology Academy","The place-based program here is designed for students to learn foundational skills in on-campus and Zoom classes; then they put that into practical application as they work with community partners. Middle school students have been working with the Hawai’i Wildlife Discovery Center, Nāpili Community Gardens, and PBS Hiki Nō."
"1645","Hawaii Technology Academy Līhuʻe Kaua'i","Līhuʻe","Hawaii","Hawaii Technology Academy","Students are regularly spotted in the field studying ecosystems specific to Kōke‘e and marine estuaries, visiting cultural sites and the Kaua‘i Museum, learning about electricity at KIUC, investigating coral reefs at ‘Anini, learning about sustainable farming practices, and more. This builds connections between classroom learning and the real world. At the end of each semester, students lead a conference with their Learning Coaches and advisor as practice for future job interviews. Students are encouraged to dress for the role as they share what they have achieved and reflect on their progress in Five Cores: communication, collaboration, critical thinking, creativity, and character."
"1646","Milwaukee Academy of Science","Milwaukee","Wisconsin","Milwaukee Academy of Science","They focus specifically on preparing Black and Brown students to be competitive after they leave school, particularly in STEM and other fields where Black and Brown students are underrepresented"
"1647","North Star Academy Washington Park High School","Newark","New Jersey","Uncommon Schools","North Star’s high school stands out for its relentless effort to rethink what students need to succeed beyond graduation and for its willingness to redesign core structures in service of that purpose. Leaders have treated GPA as a gateway to college persistence and reorganized instruction, data systems, and student supports around building the sustained habits of work that strong grades require. The school has moved away from passive learning by requiring every student to produce independent analysis before class discussion, redesigned grading to eliminate hidden gaps, and built high-accountability structures like Target 3.0 that pair data transparency with peer-driven goal setting. Together, these shifts reflect a high school actively reimagining how to cultivate independent learners, strengthen academic behaviors, and give every student a credible path to college success."
"1648","Rio Grande High School","Albuquerque","New Mexico","Albuquerque Public Schools","Rio Grande HS has committed in the last few years to prioritizing sustainability through an environmental engineering program that blends innovative agricultural practices with traditional land and water management methods. Students can choose among multiple professional environmental engineering tracks (such as agriculture and conservation), and conduct authentic research in the fields and ponds adjacent to the school. The water, soil, and pollution studies they conduct have real value to local farmers, who recieve reports and presentations from students on their findings."
"1650","Old Mill Elementary School","Mt. Washington","Kentucky","Bullitt County Public Schools","Old Mill Elementary is implementing the district's vision of competency-based education into practice through authentic learning experiences and transformational instruction and assessment aligned to Bullitt County’s Graduate Profile competencies. The school emphasizes competency- and standards-based learning through performance assessments, and hosts career days that help students see how local careers connect to the Graduate Profile competencies."
"1651","Seattle World School","Seattle","Washington","Seattle Public Schools","Evening program for students to earn credit who otherwise cannot attend school during the day; multilingual supports"
"1653","Highline High School","Burien","Washington","Highline School District","Highline High School is part of a district-wide high school redesign effort in Highline Public Schools where each high school is pursuing a unique approach to redesign. At HHS, the school is focused on deeper learning and student choice, operationalized in a block schedule enabling more real-world projects."
"1654","Appoquinimink High School","Middletown","Delaware","Appoquinimink School District","The school has a comprehensive and mature career pathways program that is notable for its attention to inclusion. Every student participates in a pathway and the school is committed to navigation and differentiation that enable students to select any pathway that connects to their interests and goals."
"1655","Bronx Excellence 2","New York","New York","Excellence Community Schools","The school stands out for its willingness to rethink core structures so that every student is known, supported, and challenged. Personalized learning plans, flexible grouping, and an extended school day allow staff to tailor instruction and enrichment to individual needs while maintaining high academic expectations. A rich liberal arts curriculum, strong behavioral supports, and deep family and community partnerships reinforce a broader purpose: developing well-rounded learners in a safe, nurturing, and intellectually ambitious environment. This combination reflects a coherent effort to reimagine both the experiences and conditions students need to thrive."
"1656","Lowell Elementary","Missoula","Montana","Missoula County Public Schools","Lowell Elementary leverages Arts Integration has a dynamic approach to teaching where students construct and demonstrate understanding through an art form. This method goes beyond traditional activities by embedding the arts into core academic subjects, allowing students to explore and express concepts in innovative ways. Through arts-based projects, students  engage in effective communication, agile thinking, skilled collaboration and confident learning. This model includes a local artist residency at each grade level, where teacher and artist collaborate on a learner-centered unit of study."
"1657","The Academies of Danbury High School","Danbury","Connecticut","Danbury School District","The Academies of Danbury High School represent a redesign of the traditional high school experience, organized around career-focused learning within a personalized academy structure. Students select from a set of defined pathways—each aligned to specific industries or fields of study—that integrate rigorous academics with hands-on, real-world learning. All pathways are open to every student and assigned through a lottery process, ensuring equitable access regardless of grades or other factors."
"1658","Desert Edge High School","Goodyear","Arizona","Agua Fria Union High School District","Doing lots of innovative AI work at both the disrict and school levels"
"1659","Washington Latin - Cooper Campus","Washington DC","District of Columbia",NA,"Washington Latin Public Charter School is DC’s only public classical school—it dares to hold two ideas together: that education is the formation of character, fundamentally a moral exercise and that a challenging education should and can be accessible to all.

Washington Latin’s true innovation lies not only in what students learn, but also in how they prepare and support the adults who teach them. Washington Latin, has reimagined the teaching role itself. Their staffing model is both a philosophy and a practice. It restores trust, autonomy, and professional dignity to educators to a central place, thereby creating conditions where adults and students alike can thrive."
"1660","Washington Latin - 2nd Street Campus","Washington DC","District of Columbia",NA,"Washington Latin Public Charter School is DC’s only public classical school—it dares to hold two ideas together: that education is the formation of character, fundamentally a moral exercise and that a challenging education should and can be accessible to all.

Washington Latin’s true innovation lies not only in what students learn, but also in how they prepare and support the adults who teach them. Washington Latin, has reimagined the teaching role itself. Their staffing model is both a philosophy and a practice. It restores trust, autonomy, and professional dignity to educators to a central place, thereby creating conditions where adults and students alike can thrive."
"1661","Global Village Academy Aurora","Aurora","Colorado","Colorado Charter School Institute","Global Village Academy Aurora reimagines school by creating a globally focused, multilingual environment where students learn core content through immersive language pathways in Spanish, Mandarin Chinese, and French. This structure transforms traditional classrooms into vibrant, culturally rich spaces where students engage authentically with global perspectives and diverse communities. Through inquiry-based instruction, targeted supports, and a strong emphasis on global citizenship, GVA Aurora empowers students to develop agency, empathy, and confidence as multilingual learners. The school’s commitment to cultural responsiveness and inclusive immersion experiences creates a dynamic, empowering environment for all students."
"1662","Global Village Academy – North","Thornton","Colorado","Colorado Charter School Institute","Global Village Academy – North reimagines the learning experience by offering open-access immersion programs in Spanish, Mandarin Chinese, and Russian within a globally oriented K–8 model. By structuring learning around daily immersion, international themes, and hands-on, collaborative instruction, GVA North creates classrooms that are engaging, culturally vibrant, and intellectually stimulating. Students explore real-world issues, build cross-cultural competence, and develop strong communication skills that transcend traditional academic boundaries. Through personalized supports and whole-child practices, GVA North empowers students to become confident, multilingual global citizens prepared to navigate an interconnected world. "
"1663","Narragansett High School","Narragansett","Rhode Island","Narragansett School System","Narragansett High School has taken a proactive, strategic approach to AI implementation. They've developed a framework for developing policies, designing professional development, and implementing practical AI use cases that boost productivity and outcomes. They’ve achieved significant progress through strategic coaching, small investments, and leveraging early adopters, proving that effective AI implementation doesn’t require extensive infrastructure or large budgets. "
"1664","Alpha School","Austin","Texas",NA,"Very personalized, cutting edge use of AI technology and supporting school elements (e.g changes to teacher role, curriculum, schedules, technology)"
"1665","CAST Lead","San Antonio","Texas","CAST Schools","CAST Lead, an in-district choice school serving 8th–12th graders, prepares students for college and careers in retail and business management, e-commerce, hospitality and tourism, and agribusiness through personalized, leadership-focused learning experiences."
"1666","CAST Tech","San Antonio","Texas","CAST Schools","CAST Tech partners closely with industry to prepare students for high-demand careers in technology and business through flexible schedules, hands-on projects, and real-world experiences such as job shadowing, mentorships, and internships. With computer-based learning and embedded college coursework, students can accelerate their studies, earn industry certifications, build strong project portfolios, and accumulate up to two years of college credit."
"1667","Nash Central Middle","Nashville","North Carolina","Nash County Public Schools","Nash Central Middle and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching."
"1668","Rocky Mount Middle","Rocky Mount","North Carolina","Nash County Public Schools","Rocky Mount Middle and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching.
"
"1669","Durant Road Middle School","Raleigh","North Carolina","Wake County Public School System","Durant Road Middle and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching.
"
"1670","Union Hill Elementary","High Point","North Carolina","Guilford County Schools","Union Hill and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching."
"1671","South Valley High","Ukiah","California","Ukiah Unified School District","Community assett enriched programming, career connected, learner interest-led, learners feel known and seen, amazingly positive feeling tone, "
"1672","Forest Hills Middle","Wilson","North Carolina","Wilson County Schools","Forest Hills Middle and its district are part of the national Opportunity Culture initiative, in which schools extend the reach of excellent teachers and their teams to many more students, for more pay, within regular budgets. 
The school has achieved high-growth learning results for its students, and it received Certified Opportunity Culture® School status, Level 2, signifying a focus on student access to instruction led by Multi-Classroom Leader® teaching teams and incorporation of small-group, high-dosage tutoring into daily schedules. 
The foundation of the Opportunity Culture model is the Multi-Classroom Leader role, an excellent teacher who leads a small teaching team, providing instructional guidance and frequent, on-the-job development, while continuing to teach part of the time. The school uses this and other teacher and paraprofessional team roles to reach more students with excellent teaching."
"1673","Lafayette Preparatory Academy","St. Louis","Missouri",NA,"At LPA, every student and staff member is recognized and valued for who they are. From the moment you walk through our doors, it feels like family. And that difference is why we are a top-ranked school for academic growth, retain staff longer and attract so much support from those who believe in what we do. Come meet the leaders of tomorrow, today.

Lafayette Prep is an active member of Diverse Charter Schools Coalition"
"1674","University Preparatory Charter School For Young Men High School","Rochester","New York",NA,"Super strong culture, great expansion of CTE programs with local partners. Culinary is the star!"
"1675","Legal Prep Charter Academy","Chicago","Illinois",NA,"Legal themed curriculum, business and community partnerships, and professional environments to build students' critical thinking, communication, advocacy, and problem solving skills. Legal exposure starts in middle school through classes like Street Law, Law in Literature, etc. "
"1676","The Early College High School of Emergency Medicine (ECHEM)","New York","New York","Urban Assembly","ECHEM reimagines learning by blending early college, hands-on skill development, and real-world career pathways that allow students to apply knowledge in authentic, high-impact settings. Their programs in Emergency Medicine, Public Health, and Pre-Nursing immerse students in industry-aligned learning experiences that build confidence, competency, and purpose. Through initiatives like the ambulance simulator, clinical partnerships, and university credit-bearing courses, students engage in learning that is rigorous, relevant, and deeply connected to their future goals."
"1677","Circulos High School at Advanced Learning Academy","San Diego","California","San Diego Unified School District","ALA reimagines school by fostering a culturally rich, inclusive community where students learn from one another and develop global awareness. Through project-based learning, strong relationships, and a focus on student ownership, ALA empowers learners to engage deeply, think critically, and take charge of their educational journey from TK through 12th grade."
"1678","Flourish","Madison","Tennessee",NA,"Microschool steeped in experiential learning: real-world projects enable deeper inquiry and problem-solving. They use Valor's Compass and use skills-based grade reporting.​"
"1679","Clear Creek Middle & High School","Evergreen","Colorado","Clear Creek School District","Clear Creek's innovative model has three core components to prepare students for their futures: rew & Connect, Experiential Learning, and Future-Ready. The Crew & Connect experiences are designed develop the learner profile, to foster relationship building, academic progress monitoring, character development  and whole-person wellness. Experiential Learning is an interdisciplinary approach to learning that leverages authentic, place-based learning experiences. Across all disciplines, students learn by experiencing relevant and rigorous content and concepts through a constructive approach that develops critical and creative thinking and problem solving skills. Future-Ready provides multiple pathways for students to be exposed to, to explore, and to experience wayfinding-focused learning from pre-kindergarten through twelfth grade. These authentic experiences are customized and serve as symbiotic relationships for industry partners and learners in many ways including opportunities for credit, internship experiences and beyond."
"1680","SLAM Miami","Miami","Florida","SLAM","Sports Leadership and Management (SLAM) is a public charter school for 6th through 12th grade students seeking careers in the Sports Leadership and Management industries. SLAM integrates national Common Core Standards and sports-related themes into a core curriculum of Mathematics, Language Arts, Science and Social Studies, SLAM prepares students for careers in Sports Medicine, Business, Marketing, Health, and Communications through electives coursework in the following career academies: Sports Medicine, Digital Television & Sports Media Production, Sports Marketing, Entertainment, & Management. 
SLAM provides students with unique access to career mentors, athletes as role models, and executive internships through educational partnerships with local and national sports franchises. "
"1680","SLAM Miami","Miami","Florida","Academica","SLAM Miami blends traditional academics with sports-themed career academies — such as sports medicine, media production, marketing, and management — giving students a real jump on post-secondary and industry-focused paths. It also offers truly unique opportunities like running the first student-operated SiriusXM radio station and internships with professional sports franchises, making school feel relevant, exciting, and directly connected to future careers."
"1681","Shields Elementary School","Victoria","Texas","Victoria ISD","Shields Elementary School focuses on nurturing the whole child through intentional opportunities to develop social-emotional skills, build relationships, and appreciate students for who they are. Each day starts with a morning meeting, where students engage in community-building activities, have one-on-one check-ins with adults, and set daily goals. This time sets up students to engage in collaborative, personalized learning over the course of the day.

Learning at Shields is highly collaborative, cross-disciplinary, and customized. Students participate in extended, interdisciplinary learning blocks that incorporate small-group, project-based, and technology-rich activities across all content areas. They rotate through four stations: teacher-led small-group instruction, adaptive curriculum at a computer station, independent self-directed practice, and a collaboration station for real-world problem-solving with peers. Teachers flexibly adapt these modalities based on student data to ensure appropriate challenge and support. Throughout these experiences, students are held to high expectations with rigorous learning, encouraged to persist through challenges, and are supported to access the resources they need to keep trying. Students also receive targeted interventions in math and reading during Genius Lab every Friday."
"1682","Rhode Island Nurses Institute Middle College Charter High School","Providence","Rhode Island",NA,"#1 School in Rhode Island for College Coursework and Workforce Credentials for six years in a row. Prepares students to become the highly educated and professional nursing workforce of the future."
"1683","Horizon Science Academy Columbus High","Columbus","Ohio","Concept Network Schools","Horizon Science Academy’s Engineering Pathway equips students with the skills and certifications needed for careers in robotics, automation, and advanced manufacturing. Through a hands-on curriculum, industry-recognized credentials, and real-world experiences, students develop the technical expertise and problem-solving abilities required for success in engineering fields. They also offer pathways in software development, cybersecurity, allied health and nursing, exercise science, arts and communications, and business and marketing."
"1684","Muskegon Lakeshore High School & Career Center","Muskegon","Michigan","Oakmont Education","Muskegon Lakeshore High School & Career Center is a unique high school serving students ages 15-21 who have been failed by traditional schools."
"1685","Pinnacle Charter School","Thornton","Colorado",NA,"The Pinnacle Arts Workshop at Pinnacle Charter School is a new, state-of-the-art facility will provide students with a unique opportunity to explore and develop their artistic talents in a variety of exciting disciplines, including Pottery, Drawing, Photography, Painting, and Graphic Arts."
"1686","Sendero School of Academics and Career Preparation (Sendero Prep)","Las Cruces","New Mexico",NA,"Sendero School of Academics and Career Preparation offers six different pathways so that students develop strong pre-employment skills, form habits to transition into the workforce, and prepare for life beyond the classroom through meaningful and reflective work experience. These include business management and administration, education and training, architecture and construction, arts/audio visual/tech/communications, transportation logistics, and health sciences."
"1687","MicroSociety Academy Charter School","Nashua","New Hampshire",NA,"Students explore through embedded entrepreneurial endeavors and “real life” learning within MicroSociety curriculum, ventures and agencies."
"1688","West Michigan Aviation Academy","Grand Rapids","Michigan",NA,"WMAA provides an aviation and STEM focused high school experience, located on the campus of the Gerald R. Ford International Airport in Grand Rapids, MI. Through a curriculum rich in aviation, STEM (science, technology, engineering, and math), and robotics, WMAA offers students a unique opportunity to focus on high-growth career fields. This approach better prepares them to pursue higher education, technical degrees, or enter the workforce in their chosen field. WMAA is one of only a few high schools in the nation where a student can earn a private pilot license as part of the high school curriculum. "
"1689","Sacramento School of Engineering & Science","Alamogordo","New Mexico",NA,"Instruction and learning opportunities at SSES empower students to become proficient in various fields of engineering, particularly in robotics, computer science, electrical, and mechanical engineering. Heavy emphasis on internships."
"1690","Palm Beach School for Autism","Lake Worth","Florida","Palm Beach School for Autism, Inc. Network","Transition programming (Project Next) designed to help individuals with autism prepare for adulthood with job training, life skills, self care, self advocacy, and leisure activities. They have community partnerships with local enterprises such as restaurants and stores, as well as on-campus experiences such as commercial kitchens, e-commerce, etc. to get hands-on experience to build confidence."
"1691","South Shore Charter School","Central Islip","New York","South Shore Charter School","South Shore Charter School is a tuition-free public charter school currently serving K–5 scholars at their flagship campus in Central Islip, NY. Rooted in high expectations, academic excellence, and strong character development, every student experiences inquiry based learning, a challenging and rigorous curriculum, excellent teaching reinforced by daily educator development, academic and social emotional support, and extended learning time. The results speak for themselves. In the first two years of operation, South Shore students were in the 99th percentile of academic growth nationally in ELA and Math on NWEA assessments, and the school re-enrolled 93% of students and retained 93% of staff. "
"1693","STEM School Chattanooga","Chattanooga","Tennessee","Hamilton County Schools","STEM School Chattanooga operates on a three-tenet framework—Collaboration, Critical Thinking, and Innovation—that guides every aspect of student learning. Through authentic, community-connected projects and a four-year instructional progression (Model-Guide-Monitor-Release), students develop essential competencies while tackling real-world challenges. The school reimagines education by making skills explicit, creating genuine experiences with external partners, and fully integrating competency development across all learning. Students transform from tentative freshmen into confident professionals who embrace failure as learning, communicate with diverse stakeholders, and drive meaningful community impact through sustained, purposeful work."
"1694","Beehive Academy","Salt Lake City","Utah",NA,"At Beehive, students of diverse cultures achieve academic excellence and personal skills in a challenging and innovative STEM environment to become contributing global citizens.

Beehive is an active member of Diverse Charter Schools Coalition."
